"co_filme","ano_lancamento","desc_filme","duracao","media_avaliacoes","no_filme","nome_diretor","id_genero"
1996,"Agente especial em missões perigosas",110,"8.2","Missão Impossível","Brian De Palma",1
2004,"Dois agentes do FBI se disfarçam de socialites",109,"7","As Branquelas","Keenen Ivory Wayans",2
1999,"Guarda penitenciário testemunha milagres",189,"9.1","À Espera de um Milagre","Frank Darabont",3
2013,"Investigadores lidam com forças sobrenaturais",112,"7.5","Invocação do Mal","James Wan",4
2014,"Viagem no espaço para salvar a humanidade",169,"8.6","Interestelar","Christopher Nolan",5
2005,"Romance na Inglaterra do século XIX",127,"7.8","Orgulho e Preconceito","Joe Wright",6
,"Brinquedos ganham vida quando ninguém está vendo",81,"8.3","Toy Story","John Lasseter",7
2001,"Um jovem descobre que é um bruxo",152,"7.6","Harry Potter e a Pedra Filosofal","Chris Columbus",8
2020,"Impacto das redes sociais na sociedade",94,"7.6","O Dilema das Redes","Jeff Orlowski",9
2014,"Mulher desaparece misteriosamente",149,"8.1","Garota Exemplar","David Fincher",10
2019,"Super-heróis se unem para salvar o universo",181,"8.4","Vingadores: Ultimato","Anthony Russo",1
2009,"Amigos enfrentam desventuras após despedida de solteiro",100,"7.7","Se Beber, Não Case!","Todd Phillips",2
1999,"Homem insatisfeito cria clube secreto de luta",139,"8.8","Clube da Luta","David Fincher",3
2017,"Jovem negro visita família da namorada e descobre segredo assustador",104,"7.7","Corra!","Jordan Peele",4
2017,"Caçador de replicantes descobre segredo perigoso",164,"8","Blade Runner 2049","Denis Villeneuve",5
2016,"Romance entre músico e atriz em Los Angeles",128,"8","La La Land","Damien Chazelle",6
2013,"Princesa luta para salvar seu reino com poderes congelantes",102,"7.4","Frozen","Chris Buck",7
,"Grupo parte para destruir anel do poder",,"8.8","O Senhor dos Anéis: A Sociedade do Anel","Peter Jackson",8
2006,"Exploração da biodiversidade da Terra",550,"9.4","Planeta Terra","Alastair Fothergill",9
2010,"Detetive investiga desaparecimento em hospital psiquiátrico",138,"8.2","Ilha do Medo","Martin Scorsese",10
2014,"Ex-assassino volta à ação para vingança",101,"7.4","John Wick","Chad Stahelski",1
2007,"Adolescentes enfrentam situações engraçadas antes da formatura",113,"7.6","Superbad","Greg Mottola",2
